"","Sol","Ls","Date","TauFactor","SADustFactor","WhPredicted","WhMeasured","WhDiff","WhDiffPercentage"
"153",3131,205.869285524478,"13-NOV-2012",0.589,0.606,523.705787476902,596,-72.2942125230976,-12.1299014300499
"154",3136,209.519259901543,"19-NOV-2012",0.897,0.612,484.380435531299,539,-54.6195644687005,-10.1334999014287
"155",3145,215.002205664584,"28-NOV-2012",0.793,0.608,496.169504391817,559,-62.8304956081825,-11.2398024343797
"156",3151,218.704271633949,"4-DEC-2012",0.866,0.599,475.772840551284,536,-60.2271594487158,-11.2364103449097
"157",3158,223.041265480851,"11-DEC-2012",0.923,0.59,457.62886190354,524,-66.3711380964602,-12.6662477283321
"158",3165,227.411087869291,"18-DEC-2012",0.955,0.607,468.918593837216,533,-64.0814061627838,-12.0227778917043
"159",3173,228.031323441469,"19-DEC-2012",1.02,0.594,446.840327814095,485,-38.1596721859053,-7.86797364657841
"160",3180,237.468528719597,"3-JAN-2013",0.961,0.633,488.721424264143,542,-53.2785757358574,-9.82999552322092
"161",3186,241.26449331066,"9-JAN-2013",1.01,0.62,466.376872647627,509,-42.6231273523731,-8.37389535410081
"162",3193,245.717345900361,"16-JAN-2013",1.08,0.623,456.558743918524,498,-41.4412560814758,-8.3215373657582
"163",3199,249.509381086917,"22-JAN-2013",1.11,0.651,476.055677788453,540,-63.9443222115469,-11.8415411502865
"164",3206,253.968135793962,"29-JAN-2013",0.974,0.644,486.007504580004,534,-47.9924954199955,-8.98735869288306
"165",3212,257.765783040804,"4-FEB-2013",0.926,0.643,489.6422902455,554,-64.3577097545005,-11.6169151181409
"166",3219,262.83472215846,"12-FEB-2013",0.891,0.626,475.002815945216,490,-14.9971840547845,-3.06064980709888
"167",3226,267.259086255567,"19-FEB-2013",0.829,0.618,473.837155267061,521,-47.1628447329394,-9.0523694305066
"168",3233,271.658670626862,"26-FEB-2013",0.817,0.594,449.461012886838,510,-60.538987113162,-11.8703896300318
"169",3240,276.040640121868,"5-MAR-2013",0.798,0.58,436.265524350779,498,-61.7344756492213,-12.3964810540605
"170",3247,280.407789026112,"12-MAR-2013",0.863,0.598,443.058099942833,483,-39.9419000571665,-8.26954452529328
"171",3253,284.72274392853,"19-MAR-2013",0.771,0.59,446.704230831082,490,-43.2957691689178,-8.83587125896283
"172",3260,289.044472294135,"26-MAR-2013",0.76,0.654,510.551099873454,590,-79.4489001265455,-13.4659152756857
"173",3266,292.680393577257,"1-APR-2013",0.741,0.636,494.3481376221,559,-64.6518623778998,-11.5656283323613
"174",3274,297.538351432766,"9-APR-2013",0.677,0.617,483.590434605006,557,-73.4095653949937,-13.1794551876111
"175",3294,309.978332490794,"30-APR-2013",0.672,0.573,435.071129242704,506,-70.9288707572957,-14.0175633907699
"176",3316,322.601416486382,"22-MAY-2013",0.903,0.649,469.74603597123,541,-71.25396402877,-13.1707881753734
"177",3323,326.49952219281,"29-MAY-2013",0.838,0.664,490.342335980493,546,-55.6576640195068,-10.193711358884
"178",3344,338.524505501747,"20-JUN-2013",0.801,0.626,449.198603752225,497,-47.8013962477746,-9.61798717259046
"179",3350,341.700163217646,"26-JUN-2013",0.805,0.607,427.796605999304,457,-29.2033940006955,-6.39023938746073
"180",3363,349.032998297573,"10-JUL-2013",0.786,0.606,420.72210296989,435,-14.2778970301096,-3.28227517933554
"181",3369,352.119417915421,"16-JUL-2013",0.705,0.584,406.729941098356,450,-43.2700589016442,-9.61556864480983
"182",3376,355.682245475886,"23-JUL-2013",0.757,0.566,379.69743083753,431,-51.3025691624697,-11.9031482975568
"183",3384,359.719269018735,"31-JUL-2013",0.8,0.574,376.598450159828,395,-18.4015498401722,-4.65862021270181
"184",3390,362.687031426027,"6-AUG-2013",0.77,0.543,348.913662570628,385,-36.086337429372,-9.37307465697974
"185",3397,366.156445465413,"13-AUG-2013",0.695,0.532,342.489647899044,376,-33.5103521009561,-8.91232768642451
"186",3404,10.0280423084761,"21-AUG-2013",0.66,0.522,332.113163518433,367,-34.8868364815671,-9.50594999497742
"187",3410,12.9400966983504,"27-AUG-2013",0.646,0.525,332.164008035806,373,-40.8359919641944,-10.9479871217679
"188",3416,15.8100012790346,"2-SEP-2013",0.64,0.522,326.217574551585,365,-38.7824254484149,-10.6253220406616
"189",3424,19.5881780140963,"10-SEP-2013",0.591,0.513,318.204644009062,362,-43.7953559909382,-12.0981646383807
"190",3431,22.8737936533766,"17-SEP-2013",0.619,0.52,316.829129988648,346,-29.1708700113523,-8.43088728651802
"191",3437,26.1238777247467,"24-SEP-2013",0.62,0.505,299.892194057208,322,-22.1078059427921,-6.86577824310315
"192",3444,15.3419433800862,"1-SEP-2013",0.633,0.494,303.477468640892,323,-19.5225313591075,-6.04412735576084
"193",3452,33.0170372817135,"9-OCT-2013",0.649,0.508,290.710071990862,328,-37.2899280091376,-11.3688804905907
"194",3459,36.1830693216043,"16-OCT-2013",0.685,0.527,298.189873758178,334,-35.8101262418223,-10.7215946831803
"195",3466,39.3594420619127,"23-OCT-2013",0.596,0.514,292.531458525453,320,-27.4685414745467,-8.58391921079585
"196",3472,42.4863806889459,"30-OCT-2013",0.51,0.488,276.390123883576,299,-22.6098761164241,-7.56183147706492
"197",3478,45.1757403166513,"5-NOV-2013",0.536,0.491,273.499192688428,311,-37.5008073115716,-12.0581373992192
"198",3494,52.268080593473,"21-NOV-2013",0.668,0.498,260.2235788844,302,-41.7764211156001,-13.8332520250331
"199",3498,54.0460299988771,"25-NOV-2013",0.603,0.496,262.80944334354,310,-47.1905566564604,-15.2227602117614
"200",3507,58.4246109282841,"5-DEC-2013",0.549,0.467,242.468915825522,270,-27.5310841744777,-10.1966978423992
"201",3509,59.3048165903056,"7-DEC-2013",0.587,0.468,239.509761437241,268,-28.4902385627593,-10.6306860308803
